filename,flair_dice,flair_sens,flair_prec,t1c_dice,t1c_sens,t1c_prec,t2_dice,t2_sens,t2_prec,fus2_dice,fus2_sens,fus2_prec,fus3_dice,fus3_sens,fus3_prec
BRATS_421.nii.gz,0.876,0.809,0.956,0.504,0.447,0.579,0.568,0.406,0.949,0.776,0.814,0.741,0.854,0.769,0.962
BRATS_422.nii.gz,0.529,0.360,1.000,0.001,0.000,1.000,0.637,0.481,0.941,0.818,0.692,0.999,0.750,0.600,1.000
BRATS_423.nii.gz,0.815,0.800,0.829,0.711,0.585,0.907,0.640,0.780,0.543,0.743,0.906,0.630,0.855,0.843,0.868
BRATS_424.nii.gz,0.760,0.703,0.827,0.001,0.000,1.000,0.180,0.099,1.000,0.739,0.912,0.622,0.774,0.925,0.666
BRATS_425.nii.gz,0.781,0.641,1.000,0.001,0.000,1.000,0.743,0.590,1.000,0.513,0.952,0.351,0.817,0.690,1.000
BRATS_426.nii.gz,0.788,0.707,0.891,0.000,0.000,1.000,0.682,0.644,0.725,0.778,0.731,0.831,0.810,0.737,0.900
BRATS_427.nii.gz,0.800,0.756,0.850,0.001,0.000,1.000,0.440,0.383,0.518,0.448,0.803,0.310,0.832,0.888,0.783
BRATS_428.nii.gz,0.744,0.620,0.931,0.698,0.539,0.987,0.651,0.524,0.858,0.821,0.733,0.934,0.767,0.641,0.954
BRATS_429.nii.gz,0.680,0.515,1.000,0.543,0.372,1.000,0.769,0.625,0.998,0.659,0.492,1.000,0.637,0.468,1.000
BRATS_430.nii.gz,0.672,0.525,0.935,0.334,0.968,0.202,0.421,0.586,0.329,0.680,0.632,0.736,0.902,0.977,0.838
BRATS_431.nii.gz,0.852,0.932,0.784,0.540,0.385,0.902,0.616,0.632,0.600,0.712,0.781,0.654,0.854,0.945,0.779
BRATS_432.nii.gz,0.746,0.681,0.824,0.668,0.543,0.867,0.576,0.490,0.698,0.786,0.736,0.843,0.682,0.563,0.864
BRATS_433.nii.gz,0.922,0.857,0.999,0.001,0.000,1.000,0.787,0.649,1.000,0.916,0.931,0.902,0.910,0.834,1.000
BRATS_434.nii.gz,0.376,0.232,1.000,0.398,0.674,0.282,0.823,0.711,0.978,0.376,0.231,1.000,0.376,0.231,1.000
BRATS_435.nii.gz,0.560,0.418,0.848,0.750,0.606,0.983,0.849,0.760,0.961,0.861,0.852,0.870,0.908,0.878,0.941
BRATS_436.nii.gz,0.872,0.981,0.785,0.457,0.875,0.309,0.792,0.657,0.997,0.797,0.986,0.669,0.890,0.812,0.985
BRATS_437.nii.gz,0.832,0.855,0.810,0.001,0.000,1.000,0.481,0.342,0.808,0.784,0.904,0.692,0.876,0.886,0.866
BRATS_438.nii.gz,0.503,0.659,0.406,0.726,0.572,0.992,0.653,0.486,0.996,0.789,0.654,0.993,0.761,0.620,0.987
BRATS_439.nii.gz,0.844,0.761,0.946,0.001,0.000,1.000,0.501,0.348,0.898,0.895,0.917,0.874,0.528,0.366,0.944
BRATS_440.nii.gz,0.748,0.615,0.955,0.001,0.001,1.000,0.264,0.293,0.240,0.250,0.892,0.145,0.915,0.873,0.960
BRATS_441.nii.gz,0.703,0.713,0.692,0.267,0.154,1.000,0.775,0.652,0.955,0.632,0.842,0.505,0.718,0.763,0.677
BRATS_442.nii.gz,0.630,0.557,0.726,0.001,0.000,1.000,0.703,0.542,1.000,0.690,0.731,0.653,0.826,0.704,1.000
BRATS_443.nii.gz,0.879,0.791,0.988,0.138,0.768,0.076,0.555,0.544,0.566,0.164,0.895,0.090,0.868,0.818,0.925
BRATS_444.nii.gz,0.651,0.616,0.690,0.001,0.001,1.000,0.570,0.717,0.473,0.667,0.781,0.582,0.637,0.635,0.640
BRATS_445.nii.gz,0.778,0.638,0.998,0.001,0.000,1.000,0.501,0.438,0.586,0.921,0.915,0.928,0.934,0.880,0.994
BRATS_446.nii.gz,0.631,0.461,0.999,0.001,0.000,1.000,0.410,0.258,0.999,0.784,0.668,0.950,0.631,0.461,0.998
BRATS_447.nii.gz,0.829,0.768,0.899,0.451,0.291,0.998,0.812,0.691,0.986,0.841,0.861,0.821,0.650,0.482,0.996
BRATS_448.nii.gz,0.774,0.631,1.000,0.000,0.000,1.000,0.511,0.343,1.000,0.867,0.797,0.951,0.784,0.647,0.995
BRATS_449.nii.gz,0.553,0.383,0.997,0.001,0.000,1.000,0.815,0.689,0.998,0.814,0.846,0.784,0.579,0.408,1.000
BRATS_450.nii.gz,0.752,0.620,0.954,0.752,0.637,0.919,0.716,0.579,0.939,0.454,0.957,0.297,0.827,0.717,0.978
BRATS_451.nii.gz,0.783,0.668,0.946,0.000,0.000,1.000,0.705,0.564,0.939,0.860,0.805,0.922,0.823,0.721,0.957
BRATS_452.nii.gz,0.673,0.509,0.994,0.631,0.474,0.944,0.424,0.269,1.000,0.674,0.511,0.990,0.601,0.430,0.999
BRATS_453.nii.gz,0.630,0.461,0.998,0.001,0.000,1.000,0.451,0.297,0.931,0.724,0.579,0.965,0.600,0.429,0.998
BRATS_454.nii.gz,0.719,0.579,0.951,0.329,0.214,0.712,0.787,0.657,0.980,0.647,0.501,0.912,0.761,0.637,0.945
BRATS_455.nii.gz,0.799,0.724,0.891,0.000,0.000,1.000,0.558,0.387,1.000,0.520,0.743,0.400,0.810,0.814,0.806
BRATS_456.nii.gz,0.909,0.914,0.904,0.630,0.460,1.000,0.689,0.534,0.972,0.559,0.916,0.402,0.901,0.869,0.936
BRATS_457.nii.gz,0.568,0.397,1.000,0.001,0.000,1.000,0.524,0.355,1.000,0.639,0.822,0.523,0.630,0.460,1.000
BRATS_458.nii.gz,0.448,0.856,0.304,0.001,0.000,1.000,0.678,0.520,0.972,0.424,0.939,0.274,0.483,0.885,0.333
BRATS_459.nii.gz,0.868,0.901,0.837,0.196,0.759,0.113,0.543,0.704,0.441,0.668,0.949,0.516,0.668,0.889,0.535
